address,allocation
0x0025955a41af870f85184366105bd2c7da0b48e3,0.17
0x0025977cc885045bc841b99a220c39885b3d90e5,0.17
0x00260eb43fd0de883b4131751a127d9fc1be974f,0.17
0x00272ff7e1f559fb0f5f48d0572fc1259349e505,0.17
0x00273aa6c323891765fc47f3524f6167f51fcecd,0.17
0x00274d2c5dd8876482fba8be8517efe9855a3d7e,0.17
0x002876d82dd6f7dca9062dfcb7e85d3f11fe29b9,0.17
0x002a13c0f9a40d2156594e24fe5679ea5425a347,0.17
0x002afc611402cfc2caf40f6e6a329a541db32599,0.17
0x002d25d1dc2658238d9d3f9a7b36c8116a6e76b4,0.17
0x002e5d411f7bc2ebfe0a1797a2167182d2e5beae,0.17
0x002f129a2d40a43c7c1814b09efd0982e060a418,0.17
0x0030be2d1d0b2729db19dd95725df0423c33a494,0.17
0x003107fde576d4067c2cc9a7297c48c2bacdec87,0.17
0x00329507845fec13c18593cb38e93de4a22fa4a9,0.17
0x0032fabc853e340d2717f9cccdf092dc61c25dee,0.17
0x00330002ad849a2b16f3f9e51447fc3d2a4cd8df,0.17
0x0033c372acc564d3d225d014394427aced9905db,0.17
0x0033e787254b9cbace0059d5a9b66c3d02f0596b,0.17
0x00354318e81876145cae89b36521e40901c9bfdc,0.17
0x003603a1c3ea729c239c1f7783270a732bbe9ea3,0.17
0x00362f68a3d4316b598bf2c0e25a15db1066ef7c,0.17
0x0037873e336e73a3c441027bc79683b46286f718,0.17
0x003989d70b0a0319ac6d158a3aa813973e6916d9,0.17
0x0039fcaafbe768d7e922d531146f4eed0a02ece6,0.17
0x003b507f7b1fac5226336befefa0339dbbe9937a,0.17
0x003ba05fbd8cb672e6a5e9f7dee40b29f4977f09,0.17
0x003d86af4d41eaa941fbc8a46a33573c772e898d,0.17
0x003dc653ffae287bcc970dc60a0081c5df434d88,0.17
0x003e2ac129de89529c544cff181c975fbd3e8e33,0.17
0x003ecd11e11870e919dc938382191da63d7d44c1,0.17
0x00420956302f22f5bfdf8499534bafc91254088e,0.17
0x0044eeb199d2ab9cf603b2bee2e5374cec8563b7,0.17
0x00454605169325b521bd5890a782a0ddac389664,0.17
0x00472885c8faaa4211301107b603751ff6ec32c5,0.17
0x0047e228278a2bfa423b5fd9684f85be9165101a,0.17
0x00483a7e6612e536cb81177847800fb47c85189b,0.17
0x004ae377108648a6861e786d63ded27cddcbff72,0.17
0x004badd5cfbe071c2a190404372af0c239b26831,0.17
0x004f4561b84959edb5c0d42841dfe23a49501cb0,0.17
0x004f8b5c989d2a68f29c8408be6f0ca3e5f8a409,0.17
0x0051706ef6630c6afff5270e7055e069b53aaf19,0.17
0x0051eb82d4a5b2a8a99e6f506c1cd0eed39a8c15,61.2
0x00523f0f4c76c5437efec21549bb6a2c8e5c1da9,0.17
0x005273e45d19b4cf45cb2b4273d833adcbe94c98,0.17
0x00531319bb21c1f09ff4134ae3405900005c1e3c,0.17
0x0054f936d3026eccad6dc9e640704998989b3c48,0.17
0x00554af1206a12157211503e7ac056811d56d804,266.9
0x0055fb82539a7c094e3c8e388168a30ebefef374,0.17
0x005750fdab18ca7b14168a3c561f6b05efe5b92b,0.17
0x00582510374148c5f2f2bacc27e464aa42cca172,0.17
0x005990985a504e784a97198fbed52f5263d4638d,0.17
